dataset,model,seed,scarcity_fraction,training_pool_size,retained_size,synthetic_size,generator_seconds,fit_seconds,roc_auc,precision,recall,f1,accuracy,average_precision
diabetes,logistic_regression,0,0.5,202944,101472,101472,39.406587999998,1.74893840000004,0.817707866648263,0.614740368509213,0.0519168199179516,0.0957474563005479,0.863371176285084,0.404253104345071
diabetes,random_forest,0,0.5,202944,101472,101472,39.406587999998,79.0618081000066,0.779684199490943,0.487836949375411,0.10496534163248,0.172759022118743,0.859941658782718,0.348557288977664
diabetes,logistic_regression,0,0.25,202944,50736,152208,31.6357457999984,2.17870360000234,0.815042210929141,0.588547189819724,0.0785118121375018,0.13854218671992,0.863962472406181,0.396872439007204
diabetes,random_forest,0,0.25,202944,50736,152208,31.6357457999984,61.9770222000006,0.78450377882874,0.502876869965478,0.123638421275994,0.198478483024867,0.860868022705771,0.354814256858154
diabetes,logistic_regression,0,0.1,202944,20294,182650,18.2401612999965,1.81610600000568,0.806929383445177,0,0,0,0.860670923998739,0.383801150604989
diabetes,random_forest,0,0.1,202944,20294,182650,18.2401612999965,68.3077256000033,0.746966809920123,0.413273001508296,0.0387607865327486,0.0708742886704604,0.858404288867865,0.299471774178171
diabetes,logistic_regression,0,0.05,202944,10147,192797,14.7073308000035,1.52159669999673,0.807356884854937,0.482769423558897,0.217994058565568,0.300360588636585,0.858502838221381,0.387009580091945
diabetes,random_forest,0,0.05,202944,10147,192797,14.7073308000035,64.8413744999998,0.784248791514496,0.493868921775899,0.165228462300184,0.247615009539962,0.860099337748344,0.36506203558453
diabetes,logistic_regression,0,0.01,202944,2029,200915,10.6149222000022,1.53784219999943,0.80610545305387,0.5,0.000424388173716226,0.000848056537102474,0.860670923998739,0.384182589226737
diabetes,random_forest,0,0.01,202944,2029,200915,10.6149222000022,70.9078131999995,0.69904499427231,0.174603174603175,0.00778044985146414,0.0148970747562297,0.856630400504573,0.240815195718758
diabetes,logistic_regression,1,0.5,202944,101472,101472,51.0297618000041,2.03404569999839,0.820371082963908,0.567796610169492,0.0758240203706323,0.133782603269687,0.863193787448754,0.404442441936748
diabetes,random_forest,1,0.5,202944,101472,101472,51.0297618000041,61.9908746000001,0.79300509508453,0.517989720159909,0.128306691186872,0.205668934240363,0.861912645853043,0.36942187811899
diabetes,logistic_regression,1,0.25,202944,50736,152208,32.3860724000042,1.58728210000118,0.811550770159362,0,0,0,0.860670923998739,0.38502703299666
diabetes,random_forest,1,0.25,202944,50736,152208,32.3860724000042,61.4221089999992,0.763473018964891,0.416756176154672,0.0548875371339652,0.097,0.857615894039735,0.315771153126364
diabetes,logistic_regression,1,0.1,202944,20294,182650,16.5556916999994,1.59065220000048,0.809845280494355,0.5,0.000141462724572075,0.000282845424975251,0.860670923998739,0.387061663674725
diabetes,random_forest,1,0.1,202944,20294,182650,16.5556916999994,67.7881593000056,0.747509113933726,0.375174337517434,0.0380534729098882,0.0690983817107629,0.857142857142857,0.296449895704455
diabetes,logistic_regression,1,0.05,202944,10147,192797,14.1483070999966,2.13828439999634,0.812735244708436,0,0,0,0.860670923998739,0.388640403228462
diabetes,random_forest,1,0.05,202944,10147,192797,14.1483070999966,70.7931395000051,0.723257115300168,0.288577154308617,0.0203706323383788,0.0380549682875264,0.856512141280353,0.265790641991482
diabetes,logistic_regression,1,0.01,202944,2029,200915,11.9276137999987,1.88851330000034,0.812014025189928,0.458125848800362,0.28632055453388,0.352398363367285,0.853378271838537,0.388166021807104
diabetes,random_forest,1,0.01,202944,2029,200915,11.9276137999987,75.1102709999977,0.776095616685783,0.41711851278079,0.152355354364125,0.223189306807585,0.852235099337748,0.32527640264673
diabetes,logistic_regression,2,0.5,202944,101472,101472,47.6011235999977,2.11948399999528,0.818440061862624,0.599593495934959,0.0417315037487622,0.0780320063483666,0.862602491327657,0.401351192783386
diabetes,random_forest,2,0.5,202944,101472,101472,47.6011235999977,75.5021439000047,0.78039922979253,0.478058510638298,0.101711698967322,0.167735915082235,0.859370072532324,0.347240289824784
diabetes,logistic_regression,2,0.25,202944,50736,152208,28.5372256000046,1.78026590000081,0.816265346621756,0.556565656565657,0.0779459612392135,0.136741531207346,0.862878429517502,0.393783226483698
diabetes,random_forest,2,0.25,202944,50736,152208,28.5372256000046,69.8699723999962,0.783201611970775,0.478622327790974,0.114018956005093,0.184165428995773,0.859251813308105,0.350236441499507
diabetes,logistic_regression,2,0.1,202944,20294,182650,18.4897406000018,1.78779110000323,0.812684056110388,0.666666666666667,0.000282925449144151,0.000565610859728507,0.860690633869442,0.391495249340944
diabetes,random_forest,2,0.1,202944,20294,182650,18.4897406000018,83.3280062999984,0.741152867525428,0.344954128440367,0.0265949922195502,0.0493827160493827,0.85733995584989,0.288345227522779
diabetes,logistic_regression,2,0.05,202944,10147,192797,15.4677578999981,1.91401520000363,0.808578389419199,0.501182033096927,0.1499504880464,0.230836236933798,0.860769473352255,0.380999250951513
diabetes,random_forest,2,0.05,202944,10147,192797,15.4677578999981,64.2783887999976,0.787278929100448,0.506610259122158,0.135521290140048,0.213839285714286,0.86116367076632,0.365361346045237
diabetes,logistic_regression,2,0.01,202944,2029,200915,10.0883598,1.3382946999991,0.805706097112108,0,0,0,0.860670923998739,0.376685585301247
diabetes,random_forest,2,0.01,202944,2029,200915,10.0883598,69.5320352999988,0.702016712518435,0.100502512562814,0.00282925449144151,0.00550357732526142,0.857537054556922,0.237494085693368
diabetes,logistic_regression,3,0.5,202944,101472,101472,40.5802847999948,1.79536010000447,0.821108652640909,0.584022038567493,0.0599801952185599,0.108787684413085,0.863075528224535,0.403679356621671
diabetes,random_forest,3,0.5,202944,101472,101472,40.5802847999948,63.2679182000065,0.788856076338466,0.482627578718784,0.125760362144575,0.199528672427337,0.859409492273731,0.358985077699564
diabetes,logistic_regression,3,0.25,202944,50736,152208,27.5853936999993,2.00569309999992,0.809733414569465,0.636363636363636,0.000990239072004527,0.0019774011299435,0.860730053610848,0.387234173701512
diabetes,random_forest,3,0.25,202944,50736,152208,27.5853936999993,71.5278419999959,0.778129358378606,0.482993197278912,0.110482387890791,0.179829610868064,0.85958688111006,0.346099806254013
diabetes,logistic_regression,3,0.1,202944,20294,182650,18.7159014999997,1.61055499999929,0.8144749994074,0.559210526315789,0.0120243315886264,0.0235424456446476,0.861025701671397,0.389503395166513
diabetes,random_forest,3,0.1,202944,20294,182650,18.7159014999997,67.5963663000002,0.763267341292499,0.43552036199095,0.054463148960249,0.0968188105117566,0.858423998738568,0.318475326805232
diabetes,logistic_regression,3,0.05,202944,10147,192797,13.3977603000021,1.88660439999512,0.81480894499645,0.522079373951928,0.132126184750318,0.210882817791827,0.862228003784295,0.389147664405294
diabetes,random_forest,3,0.05,202944,10147,192797,13.3977603000021,64.0511125000048,0.774403350984907,0.469335054874112,0.102843400763899,0.168716639591553,0.85879848628193,0.336748832146774
diabetes,logistic_regression,3,0.01,202944,2029,200915,11.6513588999951,1.57622830000037,0.814468764836364,0.494377342773844,0.167916254067053,0.250686378035903,0.860138757489751,0.387389535994241
diabetes,random_forest,3,0.01,202944,2029,200915,11.6513588999951,65.2021158999996,0.774808436123279,0.463227783452503,0.128306691186872,0.200952697463166,0.857832702617471,0.340596983982141
diabetes,logistic_regression,4,0.5,202944,101472,101472,40.8647440999994,1.56680079999933,0.820688344717762,0.610942249240122,0.0568680152779743,0.104050731202278,0.863548565121413,0.403781059301927
diabetes,random_forest,4,0.5,202944,101472,101472,40.8647440999994,57.6931054000015,0.784690202059483,0.481460353679407,0.119394539538832,0.191339832237588,0.859389782403027,0.350449628327957
diabetes,logistic_regression,4,0.25,202944,50736,152208,23.944310400002,1.35088610000093,0.81942436602471,0.584988962472406,0.0749752440231999,0.132915360501567,0.863706244087039,0.398723727578255
diabetes,random_forest,4,0.25,202944,50736,152208,23.944310400002,60.5170470999947,0.790297611532758,0.503511615343058,0.131843259301174,0.208968609865471,0.860927152317881,0.362894141191593
diabetes,logistic_regression,4,0.1,202944,20294,182650,16.6441960000011,1.81608840000263,0.815231559500308,0.619897959183674,0.0343754420710143,0.0651387213510253,0.862523651844844,0.390910116579833
